project,person,role
"One Week, One Tool: Practical Lessons from a Digital Humanities Barn Raising",Tom Scheinfeldt,Proposal Co-Authors
"One Week, One Tool: Practical Lessons from a Digital Humanities Barn Raising",Dan Cohen,Proposal Co-Authors
"One Week, One Tool: Practical Lessons from a Digital Humanities Barn Raising",Tom Scheinfeldt,Director(s)
"One Week, One Tool: Practical Lessons from a Digital Humanities Barn Raising",Dan Cohen,Director(s)
"One Week, One Tool: Practical Lessons from a Digital Humanities Barn Raising",Jeremy Boggs,Staff Members
"One Week, One Tool: Practical Lessons from a Digital Humanities Barn Raising",Dave Lester,Staff Members
"One Week, One Tool: Practical Lessons from a Digital Humanities Barn Raising",Trevor Owens,Staff Members
"One Week, One Tool: Practical Lessons from a Digital Humanities Barn Raising",Amanda Shoemaker,Staff Members
Digital Methods Training at Scale: Leveraging THATCamp Through a Regional System,Dan Cohen,Proposal Co-Authors
Digital Methods Training at Scale: Leveraging THATCamp Through a Regional System,Tom Scheinfeldt,Proposal Co-Authors
Digital Methods Training at Scale: Leveraging THATCamp Through a Regional System,Tom Scheinfeldt,Director(s)
Digital Methods Training at Scale: Leveraging THATCamp Through a Regional System,Chris Raymond,Web Designer(s)
Digital Methods Training at Scale: Leveraging THATCamp Through a Regional System,Jeremy Boggs,Programmers
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Roy Rosenzweig,Proposal Co-Authors
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Tom Scheinfeldt,Proposal Co-Authors
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Tom Scheinfeldt,Director(s)
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Sharon Leon,Director(s)
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Jeremy Boggs,Web Designer(s)
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Kim Nguyen,Web Designer(s)
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Nate Agrin,Programmers
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",John Flatness,Programmers
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Jim Safley,Programmers
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Patrick Murray-John,Programmers
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Ken Albers,Programmers
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Sheila Brennan,Staff Members
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Robert Horton,Affiliates
"Omeka - A Free, Open-source, Standards-Based, Easy-to-Use Web Publishing Platform to Bring History and Heritage Museums into the Era of Web 2.0",Irene van Bavel,Affiliates
Foundations of U.S. History: Virginia History as U.S. History,Kelly Schrum,Director(s)
Foundations of U.S. History: Virginia History as U.S. History,Adam Turner,Staff Members
Foundations of U.S. History: Virginia History as U.S. History,Christopher Hamner,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,William F. Brazier ,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Roy Rosenzweig,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Hugh Sockett,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Ira Berlin,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Peter Henriques,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Warren Hofstra,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Rhys Isaac ,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,T. Mills Kelly,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Sharon Leon,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Suzanne Lebsock,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Wendi Manuel-Scott,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Danielle Moretti-Langholtz,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Allison O'Connor,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Michael O'Malley,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Adam Rothman,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Zachary Schrag,Content Experts
Foundations of U.S. History: Virginia History as U.S. History,Rosemarie Zagarri,Content Experts
Sustaining Digital Humanities Training Through THATCamp,Tom Scheinfeldt,Proposal Co-Authors
Sustaining Digital Humanities Training Through THATCamp,Amanda French,Proposal Co-Authors
Sustaining Digital Humanities Training Through THATCamp,Tom Scheinfeldt,Director(s)
Sustaining Digital Humanities Training Through THATCamp,Jeny Martinez,Staff Members
Sustaining Digital Humanities Training Through THATCamp,Ammon Shepherd,Staff Members
Sustaining Digital Humanities Training Through THATCamp,Boone Gorges,Content Experts
Omeka Commons: Preserving and Sharing Our Dispersed Digital Commonwealth,Tom Scheinfeldt,Proposal Co-Authors
Omeka Commons: Preserving and Sharing Our Dispersed Digital Commonwealth,Sharon Leon,Proposal Co-Authors
Omeka Commons: Preserving and Sharing Our Dispersed Digital Commonwealth,Dan Cohen,Director(s)
Omeka Commons: Preserving and Sharing Our Dispersed Digital Commonwealth,Jeremy Boggs,Web Designer(s)
Omeka Commons: Preserving and Sharing Our Dispersed Digital Commonwealth,Kim Nguyen,Web Designer(s)
Omeka Commons: Preserving and Sharing Our Dispersed Digital Commonwealth,Patrick Murray-John,Programmers
Omeka Commons: Preserving and Sharing Our Dispersed Digital Commonwealth,Jim Safley,Staff Members
Omeka Commons: Preserving and Sharing Our Dispersed Digital Commonwealth,Raymond Yee,Staff Members
Omeka Commons: Preserving and Sharing Our Dispersed Digital Commonwealth,Sheila Brennan,Outreach
Omeka Commons: Preserving and Sharing Our Dispersed Digital Commonwealth,Kris Kelly,Affiliates
Omeka Commons: Preserving and Sharing Our Dispersed Digital Commonwealth,Linda Frueh,Affiliates
Omeka Mobile for Art Museums,Sharon Leon,Proposal Co-Authors
Omeka Mobile for Art Museums,Sheila Brennan,Proposal Co-Authors
Omeka Mobile for Art Museums,Sharon Leon,Director(s)
Omeka Mobile for Art Museums,Sheila Brennan,Director(s)
Omeka Mobile for Art Museums,Dave Lester,Staff Members
Omeka for Art History and Art Museums,Tom Scheinfeldt,Proposal Co-Authors
Omeka for Art History and Art Museums,Jim Safley,Programmers
Omeka for Art History and Art Museums,Dave Lester,Programmers
Omeka for Art History and Art Museums,Sheila Brennan,Outreach
"Omeka + Neatline: Easy + Powerful Collections Visualization, Mapping and Display",Tom Scheinfeldt,Proposal Co-Authors
"Omeka + Neatline: Easy + Powerful Collections Visualization, Mapping and Display",Bethany Nowviskie,Proposal Co-Authors
"Omeka + Neatline: Easy + Powerful Collections Visualization, Mapping and Display",Jeremy Boggs,Web Designer(s)
"Omeka + Neatline: Easy + Powerful Collections Visualization, Mapping and Display",John Flatness,Programmers
"Omeka + Neatline: Easy + Powerful Collections Visualization, Mapping and Display",Sheila Brennan,Staff Members
"Omeka + Neatline: Easy + Powerful Collections Visualization, Mapping and Display",Wayne Graham,Affiliates
"Omeka + Neatline: Easy + Powerful Collections Visualization, Mapping and Display",Adam Soroka,Affiliates
"Omeka + Neatline: Easy + Powerful Collections Visualization, Mapping and Display",Ronda Grizzle,Affiliates
"Omeka + Neatline: Easy + Powerful Collections Visualization, Mapping and Display",Ethan Gruber,Affiliates
Creating a More Perfect Community,Kelly Schrum,Director(s)
Creating a More Perfect Community,Stephanie Hurter,Web Designer(s)
Creating a More Perfect Community,Patrice Mortson,Staff Members
Creating a More Perfect Community,Judy A. McConville,Content Experts
Creating a More Perfect Community,Ruth Reeder,Content Experts
Creating a More Perfect Community,Jean Taylor Frederico,Content Experts
Creating a More Perfect Community,Roy Rosenzweig,Content Experts
Creating a More Perfect Community,Charles Errico,Content Experts
Creating a More Perfect Community,Terry Alford,Content Experts
Creating a More Perfect Community,Ira Berlin,Content Experts
Creating a More Perfect Community,Richard Bromberg,Content Experts
Creating a More Perfect Community,Jane Turner Censer,Content Experts
Creating a More Perfect Community,Barbara Clark Smith,Content Experts
Creating a More Perfect Community,Todd Endo,Content Experts
Creating a More Perfect Community,Peter Henriques,Content Experts
Creating a More Perfect Community,T. Mills Kelly,Content Experts
Creating a More Perfect Community,Wendi Manuel-Scott,Content Experts
Creating a More Perfect Community,Melani McAlister,Content Experts
Creating a More Perfect Community,Michael O'Malley,Content Experts
Creating a More Perfect Community,Carla Peterson,Content Experts
Creating a More Perfect Community,Donald Ritchie,Content Experts
Creating a More Perfect Community,Harry Rubenstein,Content Experts
Creating a More Perfect Community,Tom Scheinfeldt,Content Experts
Creating a More Perfect Community,Suzanne Smith,Content Experts
Creating a More Perfect Community,John Vernon,Content Experts
Creating a More Perfect Community,Ronald Walters,Content Experts
Creating a More Perfect Community,Rosemarie Zagarri,Content Experts
Creating a More Perfect Community,Pamela Cressey,Content Experts
Creating a More Perfect Community,Jean Taylor Frederico,Content Experts
Peopling the American Past,Eleanor Greene,Director(s)
Peopling the American Past,Kelly Schrum,Director(s)
Peopling the American Past,Stephanie Hurter,Web Designer(s)
Peopling the American Past,Patrice Mortson,Staff Members
Peopling the American Past,Sharon Leon,Content Experts
Peopling the American Past,Roy Rosenzweig,Content Experts
Peopling the American Past,Hugh Sockett,Content Experts
Peopling the American Past,Jane Turner Censer,Content Experts
Peopling the American Past,Peter Henriques,Content Experts
Peopling the American Past,T. Mills Kelly,Content Experts
Peopling the American Past,Wendi Manuel-Scott,Content Experts
Peopling the American Past,Melani McAlister,Content Experts
Peopling the American Past,Timothy Meagher,Content Experts
Peopling the American Past,Timothy Nosal,Content Experts
Peopling the American Past,Michael O'Malley,Content Experts
Peopling the American Past,Carla Peterson,Content Experts
Peopling the American Past,Adam Rothman,Content Experts
Peopling the American Past,Tom Scheinfeldt,Content Experts
Peopling the American Past,Zachary Schrag,Content Experts
Peopling the American Past,Jeffrey Stewart,Content Experts
Peopling the American Past,Robert Sutton,Content Experts
Peopling the American Past,Rosemarie Zagarri,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Kelly Schrum,Director(s)
Conflict and Consensus: Key Moments in U.S. History,Adam Turner,Staff Members
Conflict and Consensus: Key Moments in U.S. History,Kristin Lehner,Staff Members
Conflict and Consensus: Key Moments in U.S. History,Maria Trementozzi,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Adam Rothman,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Michael O'Malley,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Roy Rosenzweig,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Chandra Manning,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Christopher Hamner,Content Experts
Conflict and Consensus: Key Moments in U.S. History,David Painter,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Linda Kerber ,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Melani McAlister,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Meredith Lair,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Paula Petrik,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Peter Stearns,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Roger Wilkins ,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Ronald Walters,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Rosemarie Zagarri,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Sharon Leon,Content Experts
Conflict and Consensus: Key Moments in U.S. History,T. Mills Kelly,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Wendi Manuel-Scott,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Michael Bottoms,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Whitman Ridgway ,Content Experts
Conflict and Consensus: Key Moments in U.S. History,Zachary Schrag,Content Experts
Defining US: The American Experience,Roy Rosenzweig,Proposal Co-Authors
Defining US: The American Experience,Stephanie Hurter,Web Designer(s)
Defining US: The American Experience,Charles Errico,Content Experts
Defining US: The American Experience,Colin Green,Content Experts
Defining US: The American Experience,Karen Kortecamp,Content Experts
Defining US: The American Experience,Russell Phipps,Content Experts
Defining US: The American Experience,Alice Reilly,Content Experts
Defining US: The American Experience,Kelly Schrum,Content Experts
Defining US: The American Experience,Sara Shoob,Content Experts
Defining US: The American Experience,Melanie Stanley,Content Experts
Defining US: The American Experience,Kathleen Steeves,Content Experts
Defining US: The American Experience,Herman Viola,Content Experts
"Everyday Americans, Exceptional Americans",Kelly Schrum,Director(s)
"Everyday Americans, Exceptional Americans",Jessica Kilday,Staff Members
"Everyday Americans, Exceptional Americans",Bill Brazier,Content Experts
"Everyday Americans, Exceptional Americans",Christopher Hamner,Content Experts
Bracero History Archive - Collaborative Documentation in the Internet Age,Roy Rosenzweig,Proposal Co-Authors
Bracero History Archive - Collaborative Documentation in the Internet Age,Tom Scheinfeldt,Proposal Co-Authors
Bracero History Archive - Collaborative Documentation in the Internet Age,Jim Safley,Programmers
Bracero History Archive - Collaborative Documentation in the Internet Age,James Halabuk,Staff Members
Bracero History Archive - Collaborative Documentation in the Internet Age,Manuel Garcia y Griego,Content Experts
Bracero History Archive - Collaborative Documentation in the Internet Age,Cindy Hahamovitch,Content Experts
Bracero History Archive - Collaborative Documentation in the Internet Age,Mae Ngai,Content Experts
Bracero History Archive - Collaborative Documentation in the Internet Age,Stephen Pitti ,Content Experts
Bracero History Archive - Collaborative Documentation in the Internet Age,George Sanchez,Content Experts
Bracero History Archive - Collaborative Documentation in the Internet Age,Debra Lattanzi Shutika,Content Experts
Bracero History Archive - Collaborative Documentation in the Internet Age,Kristine Navarro,Affiliates
Bracero History Archive - Collaborative Documentation in the Internet Age,Anais Acosta,Affiliates
Bracero History Archive - Collaborative Documentation in the Internet Age,Matt Garcia,Affiliates
Bracero History Archive - Collaborative Documentation in the Internet Age,Peter Liebhold,Affiliates
Bracero History Archive - Collaborative Documentation in the Internet Age,Steve Velasquez,Affiliates
Bracero History Archive - Collaborative Documentation in the Internet Age,Bonnie Lillienfeld,Affiliates
Bracero History Archive - Collaborative Documentation in the Internet Age,Magdalena Mieri,Affiliates
EDSITEment: The Lessons of History,David Jaffee,Proposal Co-Authors
Eleanor Roosevelt Papers Exhibit Website,Sharon Leon,Proposal Co-Authors
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Dan Cohen,Director(s)
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Tim Hitchcock,Director(s)
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Geoffrey Rockwell,Director(s)
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Sean Takats,Staff Members
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Paul Carter,Content Experts
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Hugh Couchman,Content Experts
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Clive Emsley,Content Experts
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Margaret Hunt,Content Experts
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Michael Pidd,Content Experts
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Jorg Sander,Content Experts
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Robert Shoemaker,Content Experts
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Kevin Sienna,Content Experts
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,Stefan Sinclair,Content Experts
Using  Zotero  and  TAPoR  on  the  Old  Bailey  Proceedings:  Data  Mining  with  Criminal  Intent ,William J. Turkel,Content Experts
Connecticut History,Tom Scheinfeldt,Director(s)
Connecticut History,Ken Albers,Staff Members
Connecticut History,Chris Raymond,Staff Members
Connecticut History,Clarissa J. Ceglio,Affiliates
Connecticut History,Amy Gagnon,Affiliates
Connecticut History,Kim Sheridan,Affiliates
Historical Thinking Matters,Roy Rosenzweig,Proposal Co-Authors
Historical Thinking Matters,Sam Wineburg,Proposal Co-Authors
Historical Thinking Matters,Stephanie Hurter,Web Designer(s)
Historical Thinking Matters,Jeremy Boggs,Programmers
Historical Thinking Matters,Josh Greenberg,Programmers
Historical Thinking Matters,Rikk Mulligan,Programmers
Historical Thinking Matters,Meagan Hess,Staff Members
Historical Thinking Matters,Michael O'Malley,Content Experts
Historical Thinking Matters,Daisy Martin,Affiliates
Historical Thinking Matters,Chauncey Monte-Sano,Affiliates
Historical Thinking Matters,Avishag Reisman,Affiliates
Historical Thinking Matters,"Julie Park,",Affiliates
Historical Thinking Matters,Brad Fogo,Affiliates
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Roy Rosenzweig,Proposal Co-Authors
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",T. Mills Kelly,Director(s)
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Kelly Schrum,Director(s)
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Stephanie Hurter,Web Designer(s)
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Paula Petrik,Web Designer(s)
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Rikk Mulligan,Programmers
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Rustin Crandall,Staff Members
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Katharina Hering,Staff Members
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Peter Stearns,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Jean Allman,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Antoinette Burton,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Donna Guy,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Merry Wiesner Hanks,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Nora E. Jaffary,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Nancy Wingfield,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Judith P. Zinsser,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Joan Bristol,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Sumaiya Hamdani,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Yevette Richards Jordan,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Jitka Malekcova,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Maureen Miller,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Brian Platt,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Dina M. Copelman,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Beverly Mack,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Marjorie Bingham,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Marilynn Jo Hitchens,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Heidi Roupp,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Susan Gross,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Tom Hatch,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Mary H. Rojas,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Patricia G. Avery,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Bob Bain,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Anne Chapman ,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Sara Evans ,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Gretchen Kreuter,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Meryll Page,Content Experts
"Women, World History, and the Web: Teaching and Learning Through Online Primary Sources",Margaret Strobel,Content Experts
"Liberty, Equality, Fraternity: Exploring the French Revolution",Roy Rosenzweig,Director(s)
"Liberty, Equality, Fraternity: Exploring the French Revolution",Joshua Brown,Director(s)
"Liberty, Equality, Fraternity: Exploring the French Revolution",Pennee Bender,Director(s)
"Liberty, Equality, Fraternity: Exploring the French Revolution",Elena Razlogova,Programmers
"Liberty, Equality, Fraternity: Exploring the French Revolution",Peter Strong,Programmers
"Liberty, Equality, Fraternity: Exploring the French Revolution",Alan Gevinson,Staff Members
"Liberty, Equality, Fraternity: Exploring the French Revolution",Jessica Finnefrock,Staff Members
"Liberty, Equality, Fraternity: Exploring the French Revolution",TuVinh Vuong,Staff Members
"Liberty, Equality, Fraternity: Exploring the French Revolution",Dan Maxwell,Staff Members
"Liberty, Equality, Fraternity: Exploring the French Revolution",Philippe Bordes,Content Experts
"Liberty, Equality, Fraternity: Exploring the French Revolution",Laura Mason,Content Experts
"Liberty, Equality, Fraternity: Exploring the French Revolution",Jack Censer,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Lynn Hunt,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Gregory S. Brown,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Jeff Horn,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Fernando Azevedo,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Andrea Ades Vasquez,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Jennifer Min,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Burç Acar,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Christopher Hefner,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Vicky Macintyre,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Susie LeBlanc,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Julie Carpenter,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Deborah Gómez,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Lynne Zegeer,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Cathie Boivin,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Claire Taylor,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Elizabeth Harden,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Chris Moore,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Louise Vis,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Nathan Hamilton,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Joseph Rinehart,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Erin Miller,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Tom McMurrer,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Sanchia Spence,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Steve Paxton,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Jennifer Sessions,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Michael Laine,Affiliates
"Liberty, Equality, Fraternity: Exploring the French Revolution",Troy LaChance,Affiliates
Virginia 400,Roy Rosenzweig,Director(s)
Virginia 400,Meagan Hess,Web Designer(s)
Virginia 400,Pin Wang,Programmers
Martha Washington: A Life,Chris Raymond,Web Designer(s)
Martha Washington: A Life,Ken Albers,Web Designer(s)
Martha Washington: A Life,Jim Ashton,Staff Members
Martha Washington: A Life,Rosemarie Zagarri,Content Experts
ScholarPress: Open Source Digital Tools for Teaching and Research,Dan Cohen,Director(s)
ScholarPress: Open Source Digital Tools for Teaching and Research,Fred Gibbs,Director(s)
ScholarPress: Open Source Digital Tools for Teaching and Research,Will Riley,Web Designer(s)
ScholarPress: Open Source Digital Tools for Teaching and Research,Chris Raymond,Web Designer(s)
Probing the Past: Virginia and Maryland Probate Inventories,Kelly Schrum,Director(s)
Probing the Past: Virginia and Maryland Probate Inventories,Meagan Hess,Web Designer(s)
Probing the Past: Virginia and Maryland Probate Inventories,Ammon Shepherd,Programmers
Probing the Past: Virginia and Maryland Probate Inventories,Kristin Lehner,Staff Members
Probing the Past: Virginia and Maryland Probate Inventories,Roger Mellen,Staff Members
Probing the Past: Virginia and Maryland Probate Inventories,Barbara Clark Smith,Content Experts
Probing the Past: Virginia and Maryland Probate Inventories,Rosemarie Zagarri,Content Experts
